MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
RANDOM-FOREST;SPAMBASE;20;0.1;79.9;2;2;ACCURACY;0.9229298974108451;0.001006195612547931
RANDOM-FOREST;SPAMBASE;20;0.1;79.9;2;2;AUC_MACRO;0.9730250387241809;0.002372410320219976
RANDOM-FOREST;SPAMBASE;20;0.1;79.9;2;2;AUC_WEIGHTED;0.9730250387241809;0.002372410320219976
RANDOM-FOREST;SPAMBASE;20;0.1;79.9;2;2;F1_MACRO;0.9176440753447144;0.0012554052426381648
RANDOM-FOREST;SPAMBASE;20;0.1;79.9;2;2;F1_WEIGHTED;0.9219556127751356;0.0010875357270580595
NEURAL-NETWORK;SPAMBASE;20;0.1;79.9;2;2;ACCURACY;0.933567415730337;0.012593141264474977
NEURAL-NETWORK;SPAMBASE;20;0.1;79.9;2;2;AUC_MACRO;0.9819160978840019;0.001421494980988348
NEURAL-NETWORK;SPAMBASE;20;0.1;79.9;2;2;AUC_WEIGHTED;0.9819160978840019;0.001421494980988348
NEURAL-NETWORK;SPAMBASE;20;0.1;79.9;2;2;F1_MACRO;0.9296566201728207;0.014601107164176673
NEURAL-NETWORK;SPAMBASE;20;0.1;79.9;2;2;F1_WEIGHTED;0.9330934721147264;0.013164800162093942
KMEANS-RF;SPAMBASE;20;0.1;79.9;2;2;ACCURACY;0.9232107962872496;0.0013515284874773294
KMEANS-RF;SPAMBASE;20;0.1;79.9;2;2;AUC_MACRO;0.9729749407134383;0.0024532313497285427
KMEANS-RF;SPAMBASE;20;0.1;79.9;2;2;AUC_WEIGHTED;0.9729749407134383;0.0024532313497285427
KMEANS-RF;SPAMBASE;20;0.1;79.9;2;2;F1_MACRO;0.9179797881855138;0.0016531059009390406
KMEANS-RF;SPAMBASE;20;0.1;79.9;2;2;F1_WEIGHTED;0.9222619513179502;0.0013851639097921104
LADDER-NETWORK;SPAMBASE;20;0.1;79.9;2;2;ACCURACY;0.5995908646800195;0.022916673695135413
LADDER-NETWORK;SPAMBASE;20;0.1;79.9;2;2;AUC_MACRO;0.5292477706017032;0.010553363851431555
LADDER-NETWORK;SPAMBASE;20;0.1;79.9;2;2;AUC_WEIGHTED;0.5292477706017032;0.010553363851431555
